times,EcellV,ImA,EnergyChargeWh,QChargemAh,EnergyDischargeWh,QDischargemAh,TemperatureC,cycleNumber,Ns
137888.845119744,3.9363515,-12751.155,7.01872324647985,0.0,-2.78850164822801e-5,0.00708397515190972,21.329016,18,4
137889.845119848,3.794224,-14240.996,7.01872324647985,0.0,-0.0149570261938117,3.94178606011285,21.352737,18,4
137890.845119952,3.776463,-14307.193,7.01872324647985,0.0,-0.0299327625449735,7.90733165798611,21.518787,18,4
137891.845120057,3.7634277,-14356.843,7.01872324647985,0.0,-0.0449160748894379,11.8886256808811,21.265759,18,4
137892.845120161,3.7529917,-14394.866,7.01872324647985,0.0,-0.0599042562342465,15.8822879741753,21.313202,18,4
137893.845120265,3.7440915,-14430.329,7.01872324647985,0.0,-0.0748951280907857,19.8861622954644,21.329016,18,4
137894.84512037,3.7366483,-14460.079,7.01872324647985,0.0,-0.0898885634144899,23.8986981391059,21.613672,18,4
137895.845120474,3.7298353,-14486.873,7.01872324647985,0.0,-0.1048835460468,27.9189782693142,21.629486,18,4
137896.845120578,3.7240462,-14508.349,7.01872324647985,0.0,-0.119880345599236,31.9459958262804,21.692743,18,4
137897.845120683,3.7189267,-14526.671,7.01872324647985,0.0,-0.134878728333601,35.9789827799479,21.716465,18,4
137898.845120787,3.714201,-14544.993,7.01872324647985,0.0,-0.149877725738937,40.0172665218099,22.103912,18,4
137899.845120891,3.7101445,-14565.286,7.01872324647985,0.0,-0.164877812001114,44.0602589664714,22.056469,18,4
137900.845120996,3.7065215,-14576.713,7.01872324647985,0.0,-0.179879001051228,48.107500836046,22.103912,18,4
137901.8451211,3.7032135,-14590.898,7.01872324647985,0.0,-0.194880724357976,52.1585023502604,22.341125,18,4
137902.845121204,3.7002599,-14599.961,7.01872324647985,0.0,-0.209883173780528,56.2129335877821,22.515081,18,4
137903.845121308,3.6976213,-14611.782,7.01872324647985,0.0,-0.224886193400262,60.2704122254774,22.689037,18,4
137904.845121413,3.6951797,-14623.8,7.01872324647985,0.0,-0.239889516887618,64.3306541357422,22.507175,18,4
137905.845121517,3.6930923,-14632.469,7.01872324647985,0.0,-0.254893503892541,68.3933705799696,22.689037,18,4
137906.845121621,3.6909659,-14637.985,7.01872324647985,0.0,-0.269897560059136,72.4584463921441,22.894623,18,4
137907.845121726,3.6891544,-14647.245,7.01872324647985,0.0,-0.284902002733748,76.5256230680339,22.949972,18,4
137908.84512183,3.6875792,-14651.186,7.01872324647985,0.0,-0.299907105693114,80.5947161854384,23.171371,18,4
137909.845121934,3.6860039,-14660.643,7.01872324647985,0.0,-0.314912460184828,84.6656164892578,23.14765,18,4
137910.845122039,3.6845074,-14663.007,7.01872324647985,0.0,-0.329918029698858,88.7382286480035,23.511377,18,4
137911.845122143,3.6831291,-14672.069,7.01872324647985,0.0,-0.344923921707027,92.8124524164497,23.590448,18,4
137912.845122247,3.6818295,-14677.389,7.01872324647985,0.0,-0.359929911928875,96.8881409879558,23.732777,18,4
137913.845122351,3.6806085,-14682.904,7.01872324647985,0.0,-0.374936262585993,100.96527948622,23.930454,18,4
137914.845122456,3.6793089,-14687.239,7.01872324647985,0.0,-0.389942029881803,105.043699575195,23.843475,18,4
137915.84512256,3.6781275,-14689.8,7.01872324647985,0.0,-0.404947899087115,109.123457303603,24.12813,18,4
137916.845122664,3.6770248,-14691.376,7.01872324647985,0.0,-0.419954002563549,113.204502203776,24.15976,18,4
137917.845122769,3.6759222,-14698.863,7.01872324647985,0.0,-0.434960052287305,117.286756693793,24.317902,18,4
